time  time-dur lat  lon    depth  strike   dip  rake    Mo(Nm)  slip(m) x         y       xinc   yinc  segnum subnum parnum
44.743 16.00 27.403 85.895 6.864  293.000 6.000 145.905 9.089e+17 0.326 -140.000  30.000  10.00  10.00  1  1  1
44.194 16.00 27.485 85.936 7.909  293.000 6.000 0.000   0.000e+00 0.000 -140.000  20.000  10.00  10.00  1  2   17
43.861 16.00 27.567 85.976 8.955  293.000 6.000 121.790 2.152E+18 0.773 -140.000  10.000  10.00  10.00  1  3   33
43.750 16.00 27.649 86.016 10.000 293.000 6.000 89.097  5.871E+18 2.108 -140.000   0.000  10.00  10.00  1  4   49
43.861 16.00 27.731 86.057 11.045 293.000 6.000 111.798 2.037E+18 0.731 -140.000 -10.000  10.00  10.00  1  5   65
44.194 16.00 27.813 86.097 12.091 293.000 6.000 95.271  1.649E+18 0.592 -140.000 -20.000  10.00  10.00  1  6   81
44.743 16.00 27.895 86.138 13.136 293.000 6.000 66.663  1.111E+18 0.399 -140.000 -30.000  10.00  10.00  1  7   97
45.501 16.00 27.977 86.179 14.181 293.000 6.000 91.095  2.634E+18 0.946 -140.000 -40.000  10.00  10.00  1  8   113
46.456 16.00 28.058 86.219 15.226 293.000 6.000 101.465 1.772E+18 0.636 -140.000 -50.000  10.00  10.00  1  9   129
41.693 16.00 27.439 85.802 6.864  293.000 6.000 152.000 2.227E+17 0.080 -130.000  30.000  10.00  10.00  1  10   145
41.103 16.00 27.521 85.843 7.909  293.000 6.000 152.000 9.357E+16 0.034 -130.000  20.000  10.00  10.00  1  11   161
40.745 16.00 27.603 85.883 8.955  293.000 6.000 103.137 2.902E+18 1.042 -130.000  10.000  10.00  10.00  1  12   177
40.625 16.00 27.685 85.923 10.000 293.000 6.000 91.048  7.834E+18 2.813 -130.000  0.000   10.00  10.00  1  13   193
40.745 16.00 27.767 85.964 11.045 293.000 6.000 121.833 2.696E+18 0.968 -130.000 -10.000  10.00  10.00  1  14   209
41.103 16.00 27.849 86.004 12.091 293.000 6.000 62.000  1.295E+18 0.465 -130.000 -20.000  10.00  10.00  1  15   225
41.693 16.00 27.931 86.045 13.136 293.000 6.000 62.000  8.804E+17 0.316 -130.000 -30.000  10.00  10.00  1  16   241
42.505 16.00 28.013 86.085 14.181 293.000 6.000 62.000  1.074E+18 0.386 -130.000 -40.000  10.00  10.00  1  17   257
43.526 16.00 28.095 86.126 15.226 293.000 6.000 125.281 1.657E+18 0.595 -130.000 -50.000  10.00  10.00  1  18   273
38.654 16.00 27.475 85.710 6.864  293.000 6.000 152.000 1.560E+17 0.056 -120.000  30.000  10.00  10.00  1  19   289
38.017 16.00 27.557 85.750 7.909  293.000 6.000 62.000  4.024E+17 0.144 -120.000  20.000  10.00  10.00  1  20   305
37.630 16.00 27.639 85.790 8.955  293.000 6.000 102.128 5.528E+18 1.985 -120.000  10.000  10.00  10.00  1  21   321
37.500 16.00 27.721 85.830 10.000 293.000 6.000 94.488  9.692e+18 3.480 -120.000   0.000  10.00  10.00  1  22   337   
37.630 16.00 27.803 85.871 11.045 293.000 6.000 133.206 2.416e+18 0.867 -120.000 -10.000  10.00  10.00  1  23   353   
38.017 16.00 27.885 85.911 12.091 293.000 6.000 62.000  9.070E+17 0.326 -120.000 -20.000  10.00  10.00  1  24   369
38.654 16.00 27.967 85.952 13.136 293.000 6.000 62.000  3.166E+18 1.137 -120.000 -30.000  10.00  10.00  1  25   385
39.528 16.00 28.049 85.992 14.181 293.000 6.000 62.000  2.101E+17 0.075 -120.000 -40.000  10.00  10.00  1  26   401
40.625 16.00 28.131 86.033 15.226 293.000 6.000 133.147 2.944E+18 1.057 -120.000 -50.000  10.00  10.00  1  27   417
35.630 16.00 27.510 85.617 6.864  293.000 6.000 134.441 1.659E+17 0.060 -110.000  30.000  10.00  10.00  1  28   433
34.939 16.00 27.593 85.657 7.909  293.000 6.000 75.652  8.639e+17 0.310 -110.000  20.000  10.00  10.00  1  29   449
34.517 16.00 27.675 85.697 8.955  293.000 6.000 97.928  5.970e+18 2.143 -110.000  10.000  10.00  10.00  1  30   465
34.375 16.00 27.757 85.737 10.000 293.000 6.000 97.224  1.047e+19 3.760 -110.000   0.000  10.00  10.00  1  31   481
34.517 16.00 27.839 85.777 11.045 293.000 6.000 114.047 4.402e+18 1.580 -110.000 -10.000  10.00  10.00  1  32   497
34.939 16.00 27.921 85.818 12.091 293.000 6.000 104.046 5.926e+18 2.127 -110.000 -20.000  10.00  10.00  1  33   513
35.630 16.00 28.003 85.858 13.136 293.000 6.000 73.110  4.985e+18 1.790 -110.000 -30.000  10.00  10.00  1  34   529
36.577 16.00 28.085 85.899 14.181 293.000 6.000 99.512  2.329e+18 0.836 -110.000 -40.000  10.00  10.00  1  35   545
37.760 16.00 28.167 85.939 15.226 293.000 6.000 152.000 7.520e+17 0.270 -110.000 -50.000  10.00  10.00  1  36   561
32.626 16.00 27.546 85.523 6.864  293.000 6.000 149.360 4.930e+17 0.177 -100.000  30.000  10.00  10.00  1  37   577
31.869 16.00 27.628 85.564 7.909  293.000 6.000 65.376  1.316e+18 0.472 -100.000  20.000  10.00  10.00  1  38   593
