time  lat   lon  depth strike  dip  rake   xinc  yinc  slip_p slip_n Vr  Tr  sig_spal sig_snl sig_Vr sig_Tr
43.46 27.40 85.90 6.86  293.00 6.00 107.00 10.00 10.00 0.22 0.35   3.65 8.97 0.17 0.11 0.21 1.28
43.52 27.48 85.94 7.91  293.00 6.00 107.00 10.00 10.00 -0.47 -0.79 3.17 14.73 0.23 0.23 0.29 0.95
41.62 27.57 85.98 8.95  293.00 6.00 107.00 10.00 10.00 0.81 0.02   3.28 7.68 0.26 0.25 0.29 1.22
40.22 27.65 86.02 10.00 293.00 6.00 107.00 10.00 10.00 2.67 0.90   3.56 7.73 0.29 0.24 0.25 0.83
39.99 27.73 86.06 11.05 293.00 6.00 107.00 10.00 10.00 1.08 -0.57  3.51 7.93 0.29 0.28 0.26 0.84
41.00 27.81 86.10 12.09 293.00 6.00 107.00 10.00 10.00 0.54 0.39   3.31 12.63 0.34 0.29 0.30 1.47
42.37 27.89 86.14 13.14 293.00 6.00 107.00 10.00 10.00 0.13 -0.01  3.54 13.01 0.32 0.29 0.24 1.16
43.28 27.98 86.18 14.18 293.00 6.00 107.00 10.00 10.00 0.64 0.43   3.39 10.82 0.28 0.31 0.32 1.03
44.37 28.06 86.22 15.23 293.00 6.00 107.00 10.00 10.00 -0.27 0.17  3.30 10.83 0.35 0.29 0.28 1.03
40.54 27.44 85.80 6.86  293.00 6.00 107.00 10.00 10.00 -0.28 -0.35 3.10 14.23 0.11 0.16 0.29 1.61
40.55 27.52 85.84 7.91  293.00 6.00 107.00 10.00 10.00 0.25 -0.31  3.43 7.85 0.19 0.21 0.29 1.25
39.28 27.60 85.88 8.95  293.00 6.00 107.00 10.00 10.00 1.22 -0.07  2.80 5.55 0.21 0.24 0.21 0.68
37.48 27.68 85.92 10.00 293.00 6.00 107.00 10.00 10.00 2.62 0.95   3.47 7.54 0.27 0.26 0.26 0.77
37.18 27.77 85.96 11.05 293.00 6.00 107.00 10.00 10.00 0.96 -0.35  3.59 9.96 0.31 0.26 0.23 0.97
