,lat,lon,depth,strike,dip
0,27.4,85.9,6.86,293.0,6.0
1,27.48,85.94,7.91,293.0,6.0
2,27.57,85.98,8.95,293.0,6.0
3,27.65,86.02,10.0,293.0,6.0
4,27.73,86.06,11.05,293.0,6.0
5,27.81,86.1,12.09,293.0,6.0
6,27.89,86.14,13.14,293.0,6.0
7,27.98,86.18,14.18,293.0,6.0
8,28.06,86.22,15.23,293.0,6.0
9,27.44,85.8,6.86,293.0,6.0
10,27.52,85.84,7.91,293.0,6.0
11,27.6,85.88,8.95,293.0,6.0
12,27.68,85.92,10.0,293.0,6.0
13,27.77,85.96,11.05,293.0,6.0
14,27.85,86.0,12.09,293.0,6.0
15,27.93,86.04,13.14,293.0,6.0
16,28.01,86.09,14.18,293.0,6.0
17,28.09,86.13,15.23,293.0,6.0
18,27.47,85.71,6.86,293.0,6.0
19,27.56,85.75,7.91,293.0,6.0
20,27.64,85.79,8.95,293.0,6.0
21,27.72,85.83,10.0,293.0,6.0
22,27.8,85.87,11.05,293.0,6.0
23,27.88,85.91,12.09,293.0,6.0
24,27.97,85.95,13.14,293.0,6.0
25,28.05,85.99,14.18,293.0,6.0
26,28.13,86.03,15.23,293.0,6.0
27,27.51,85.62,6.86,293.0,6.0
28,27.59,85.66,7.91,293.0,6.0
29,27.67,85.7,8.95,293.0,6.0
30,27.76,85.74,10.0,293.0,6.0
31,27.84,85.78,11.05,293.0,6.0
32,27.92,85.82,12.09,293.0,6.0
33,28.0,85.86,13.14,293.0,6.0
34,28.08,85.9,14.18,293.0,6.0
35,28.17,85.94,15.23,293.0,6.0
36,27.55,85.52,6.86,293.0,6.0
37,27.63,85.56,7.91,293.0,6.0
38,27.71,85.6,8.95,293.0,6.0
39,27.79,85.64,10.0,293.0,6.0
40,27.87,85.68,11.05,293.0,6.0
41,27.96,85.72,12.09,293.0,6.0
42,28.04,85.76,13.14,293.0,6.0
43,28.12,85.81,14.18,293.0,6.0
44,28.2,85.85,15.23,293.0,6.0
45,27.58,85.43,6.86,293.0,6.0
46,27.66,85.47,7.91,293.0,6.0
47,27.75,85.51,8.95,293.0,6.0
48,27.83,85.55,10.0,293.0,6.0
49,27.91,85.59,11.05,293.0,6.0
50,27.99,85.63,12.09,293.0,6.0
51,28.07,85.67,13.14,293.0,6.0
52,28.16,85.71,14.18,293.0,6.0
53,28.24,85.75,15.23,293.0,6.0
54,27.62,85.34,6.86,293.0,6.0
55,27.7,85.38,7.91,293.0,6.0
56,27.78,85.42,8.95,293.0,6.0
57,27.86,85.46,10.0,293.0,6.0
58,27.95,85.5,11.05,293.0,6.0
59,28.03,85.54,12.09,293.0,6.0
60,28.11,85.58,13.14,293.0,6.0
61,28.19,85.62,14.18,293.0,6.0
62,28.27,85.66,15.23,293.0,6.0
63,27.65,85.24,6.86,293.0,6.0
64,27.74,85.28,7.91,293.0,6.0
65,27.82,85.32,8.95,293.0,6.0
66,27.9,85.36,10.0,293.0,6.0
67,27.98,85.4,11.05,293.0,6.0
68,28.06,85.44,12.09,293.0,6.0
69,28.15,85.48,13.14,293.0,6.0
70,28.23,85.52,14.18,293.0,6.0
71,28.31,85.56,15.23,293.0,6.0
72,27.69,85.15,6.86,293.0,6.0
73,27.77,85.19,7.91,293.0,6.0
74,27.85,85.23,8.95,293.0,6.0
75,27.94,85.27,10.0,293.0,6.0
76,28.02,85.31,11.05,293.0,6.0
77,28.1,85.35,12.09,293.0,6.0
78,28.18,85.39,13.14,293.0,6.0
79,28.26,85.43,14.18,293.0,6.0
80,28.35,85.47,15.23,293.0,6.0
81,27.72,85.06,6.86,293.0,6.0
82,27.81,85.1,7.91,293.0,6.0
83,27.89,85.14,8.95,293.0,6.0
84,27.97,85.18,10.0,293.0,6.0
85,28.05,85.22,11.05,293.0,6.0
86,28.13,85.26,12.09,293.0,6.0
