# lon lat E[km] N[km] Dep[km] strike dip Area ID
85.900 27.400 1.000 1.000 6.860 293.000 6.000 100.000 0
85.940 27.480 1.000 1.000 7.910 293.000 6.000 100.000 1
85.980 27.570 1.000 1.000 8.950 293.000 6.000 100.000 2
86.020 27.650 1.000 1.000 10.000 293.000 6.000 100.000 3
86.060 27.730 1.000 1.000 11.050 293.000 6.000 100.000 4
86.100 27.810 1.000 1.000 12.090 293.000 6.000 100.000 5
86.140 27.890 1.000 1.000 13.140 293.000 6.000 100.000 6
86.180 27.980 1.000 1.000 14.180 293.000 6.000 100.000 7
86.220 28.060 1.000 1.000 15.230 293.000 6.000 100.000 8
85.800 27.440 1.000 1.000 6.860 293.000 6.000 100.000 9
85.840 27.520 1.000 1.000 7.910 293.000 6.000 100.000 10
85.880 27.600 1.000 1.000 8.950 293.000 6.000 100.000 11
85.920 27.680 1.000 1.000 10.000 293.000 6.000 100.000 12
85.960 27.770 1.000 1.000 11.050 293.000 6.000 100.000 13
86.000 27.850 1.000 1.000 12.090 293.000 6.000 100.000 14
86.040 27.930 1.000 1.000 13.140 293.000 6.000 100.000 15
86.090 28.010 1.000 1.000 14.180 293.000 6.000 100.000 16
86.130 28.090 1.000 1.000 15.230 293.000 6.000 100.000 17
85.710 27.470 1.000 1.000 6.860 293.000 6.000 100.000 18
85.750 27.560 1.000 1.000 7.910 293.000 6.000 100.000 19
85.790 27.640 1.000 1.000 8.950 293.000 6.000 100.000 20
85.830 27.720 1.000 1.000 10.000 293.000 6.000 100.000 21
85.870 27.800 1.000 1.000 11.050 293.000 6.000 100.000 22
85.910 27.880 1.000 1.000 12.090 293.000 6.000 100.000 23
85.950 27.970 1.000 1.000 13.140 293.000 6.000 100.000 24
85.990 28.050 1.000 1.000 14.180 293.000 6.000 100.000 25
86.030 28.130 1.000 1.000 15.230 293.000 6.000 100.000 26
85.620 27.510 1.000 1.000 6.860 293.000 6.000 100.000 27
85.660 27.590 1.000 1.000 7.910 293.000 6.000 100.000 28
85.700 27.670 1.000 1.000 8.950 293.000 6.000 100.000 29
85.740 27.760 1.000 1.000 10.000 293.000 6.000 100.000 30
85.780 27.840 1.000 1.000 11.050 293.000 6.000 100.000 31
85.820 27.920 1.000 1.000 12.090 293.000 6.000 100.000 32
85.860 28.000 1.000 1.000 13.140 293.000 6.000 100.000 33
85.900 28.080 1.000 1.000 14.180 293.000 6.000 100.000 34
85.940 28.170 1.000 1.000 15.230 293.000 6.000 100.000 35
85.520 27.550 1.000 1.000 6.860 293.000 6.000 100.000 36
85.560 27.630 1.000 1.000 7.910 293.000 6.000 100.000 37
85.600 27.710 1.000 1.000 8.950 293.000 6.000 100.000 38
85.640 27.790 1.000 1.000 10.000 293.000 6.000 100.000 39
85.680 27.870 1.000 1.000 11.050 293.000 6.000 100.000 40
85.720 27.960 1.000 1.000 12.090 293.000 6.000 100.000 41
85.760 28.040 1.000 1.000 13.140 293.000 6.000 100.000 42
85.810 28.120 1.000 1.000 14.180 293.000 6.000 100.000 43
85.850 28.200 1.000 1.000 15.230 293.000 6.000 100.000 44
85.430 27.580 1.000 1.000 6.860 293.000 6.000 100.000 45
85.470 27.660 1.000 1.000 7.910 293.000 6.000 100.000 46
85.510 27.750 1.000 1.000 8.950 293.000 6.000 100.000 47
85.550 27.830 1.000 1.000 10.000 293.000 6.000 100.000 48
85.590 27.910 1.000 1.000 11.050 293.000 6.000 100.000 49
85.630 27.990 1.000 1.000 12.090 293.000 6.000 100.000 50
85.670 28.070 1.000 1.000 13.140 293.000 6.000 100.000 51
85.710 28.160 1.000 1.000 14.180 293.000 6.000 100.000 52
85.750 28.240 1.000 1.000 15.230 293.000 6.000 100.000 53
85.340 27.620 1.000 1.000 6.860 293.000 6.000 100.000 54
85.380 27.700 1.000 1.000 7.910 293.000 6.000 100.000 55
85.420 27.780 1.000 1.000 8.950 293.000 6.000 100.000 56
85.460 27.860 1.000 1.000 10.000 293.000 6.000 100.000 57
85.500 27.950 1.000 1.000 11.050 293.000 6.000 100.000 58
85.540 28.030 1.000 1.000 12.090 293.000 6.000 100.000 59
85.580 28.110 1.000 1.000 13.140 293.000 6.000 100.000 60
85.620 28.190 1.000 1.000 14.180 293.000 6.000 100.000 61
85.660 28.270 1.000 1.000 15.230 293.000 6.000 100.000 62
85.240 27.650 1.000 1.000 6.860 293.000 6.000 100.000 63
85.280 27.740 1.000 1.000 7.910 293.000 6.000 100.000 64
85.320 27.820 1.000 1.000 8.950 293.000 6.000 100.000 65
85.360 27.900 1.000 1.000 10.000 293.000 6.000 100.000 66
85.400 27.980 1.000 1.000 11.050 293.000 6.000 100.000 67
85.440 28.060 1.000 1.000 12.090 293.000 6.000 100.000 68
85.480 28.150 1.000 1.000 13.140 293.000 6.000 100.000 69
85.520 28.230 1.000 1.000 14.180 293.000 6.000 100.000 70
85.560 28.310 1.000 1.000 15.230 293.000 6.000 100.000 71
85.150 27.690 1.000 1.000 6.860 293.000 6.000 100.000 72
85.190 27.770 1.000 1.000 7.910 293.000 6.000 100.000 73
85.230 27.850 1.000 1.000 8.950 293.000 6.000 100.000 74
85.270 27.940 1.000 1.000 10.000 293.000 6.000 100.000 75
85.310 28.020 1.000 1.000 11.050 293.000 6.000 100.000 76
85.350 28.100 1.000 1.000 12.090 293.000 6.000 100.000 77
85.390 28.180 1.000 1.000 13.140 293.000 6.000 100.000 78
85.430 28.260 1.000 1.000 14.180 293.000 6.000 100.000 79
85.470 28.350 1.000 1.000 15.230 293.000 6.000 100.000 80
85.060 27.720 1.000 1.000 6.860 293.000 6.000 100.000 81
85.100 27.810 1.000 1.000 7.910 293.000 6.000 100.000 82
85.140 27.890 1.000 1.000 8.950 293.000 6.000 100.000 83
85.180 27.970 1.000 1.000 10.000 293.000 6.000 100.000 84
85.220 28.050 1.000 1.000 11.050 293.000 6.000 100.000 85
