# lon lat E[km] N[km] Dep[km] strike dip Area ID
-72.606 -32.247 1.000 1.000 6.720 4.000 8.820 324.000 0
-72.419 -32.259 1.000 1.000 9.950 4.000 11.880 324.000 1
-72.233 -32.270 1.000 1.000 14.100 4.000 14.780 324.000 2
-72.050 -32.281 1.000 1.000 19.110 4.000 17.550 324.000 3
-71.870 -32.292 1.000 1.000 24.940 4.000 20.230 324.000 4
-71.692 -32.302 1.000 1.000 31.540 4.000 22.830 324.000 5
-71.518 -32.312 1.000 1.000 38.890 4.000 25.360 324.000 6
-71.347 -32.321 1.000 1.000 46.950 4.000 27.840 324.000 7
-71.180 -32.330 1.000 1.000 55.690 4.000 30.270 324.000 8
-71.018 -32.339 1.000 1.000 65.090 4.000 32.660 324.000 9
-72.592 -32.085 1.000 1.000 6.720 4.000 8.820 324.000 10
-72.405 -32.097 1.000 1.000 9.950 4.000 11.880 324.000 11
-72.220 -32.108 1.000 1.000 14.100 4.000 14.780 324.000 12
-72.037 -32.119 1.000 1.000 19.110 4.000 17.550 324.000 13
-71.857 -32.130 1.000 1.000 24.940 4.000 20.230 324.000 14
-71.679 -32.140 1.000 1.000 31.540 4.000 22.830 324.000 15
-71.506 -32.150 1.000 1.000 38.890 4.000 25.360 324.000 16
-71.335 -32.159 1.000 1.000 46.950 4.000 27.840 324.000 17
-71.169 -32.168 1.000 1.000 55.690 4.000 30.270 324.000 18
-71.006 -32.177 1.000 1.000 65.090 4.000 32.660 324.000 19
-72.577 -31.923 1.000 1.000 6.720 4.000 8.820 324.000 20
-72.391 -31.935 1.000 1.000 9.950 4.000 11.880 324.000 21
-72.206 -31.946 1.000 1.000 14.100 4.000 14.780 324.000 22
-72.023 -31.957 1.000 1.000 19.110 4.000 17.550 324.000 23
-71.844 -31.968 1.000 1.000 24.940 4.000 20.230 324.000 24
-71.667 -31.978 1.000 1.000 31.540 4.000 22.830 324.000 25
-71.493 -31.988 1.000 1.000 38.890 4.000 25.360 324.000 26
-71.323 -31.997 1.000 1.000 46.950 4.000 27.840 324.000 27
-71.157 -32.006 1.000 1.000 55.690 4.000 30.270 324.000 28
-70.994 -32.015 1.000 1.000 65.090 4.000 32.660 324.000 29
-72.563 -31.761 1.000 1.000 6.720 4.000 8.820 324.000 30
-72.377 -31.773 1.000 1.000 9.950 4.000 11.880 324.000 31
-72.192 -31.784 1.000 1.000 14.100 4.000 14.780 324.000 32
-72.010 -31.795 1.000 1.000 19.110 4.000 17.550 324.000 33
-71.831 -31.806 1.000 1.000 24.940 4.000 20.230 324.000 34
-71.654 -31.816 1.000 1.000 31.540 4.000 22.830 324.000 35
-71.481 -31.826 1.000 1.000 38.890 4.000 25.360 324.000 36
-71.311 -31.835 1.000 1.000 46.950 4.000 27.840 324.000 37
-71.145 -31.844 1.000 1.000 55.690 4.000 30.270 324.000 38
-70.983 -31.852 1.000 1.000 65.090 4.000 32.660 324.000 39
-72.549 -31.599 1.000 1.000 6.720 4.000 8.820 324.000 40
-72.363 -31.611 1.000 1.000 9.950 4.000 11.880 324.000 41
-72.179 -31.622 1.000 1.000 14.100 4.000 14.780 324.000 42
-71.997 -31.633 1.000 1.000 19.110 4.000 17.550 324.000 43
-71.818 -31.644 1.000 1.000 24.940 4.000 20.230 324.000 44
-71.641 -31.654 1.000 1.000 31.540 4.000 22.830 324.000 45
-71.468 -31.664 1.000 1.000 38.890 4.000 25.360 324.000 46
-71.299 -31.673 1.000 1.000 46.950 4.000 27.840 324.000 47
-71.133 -31.682 1.000 1.000 55.690 4.000 30.270 324.000 48
-70.971 -31.690 1.000 1.000 65.090 4.000 32.660 324.000 49
-72.535 -31.437 1.000 1.000 6.720 4.000 8.820 324.000 50
-72.349 -31.449 1.000 1.000 9.950 4.000 11.880 324.000 51
-72.165 -31.460 1.000 1.000 14.100 4.000 14.780 324.000 52
-71.984 -31.471 1.000 1.000 19.110 4.000 17.550 324.000 53
-71.805 -31.482 1.000 1.000 24.940 4.000 20.230 324.000 54
-71.629 -31.492 1.000 1.000 31.540 4.000 22.830 324.000 55
-71.456 -31.501 1.000 1.000 38.890 4.000 25.360 324.000 56
-71.287 -31.511 1.000 1.000 46.950 4.000 27.840 324.000 57
-71.121 -31.520 1.000 1.000 55.690 4.000 30.270 324.000 58
-70.960 -31.528 1.000 1.000 65.090 4.000 32.660 324.000 59
-72.521 -31.275 1.000 1.000 6.720 4.000 8.820 324.000 60
-72.335 -31.287 1.000 1.000 9.950 4.000 11.880 324.000 61
-72.152 -31.298 1.000 1.000 14.100 4.000 14.780 324.000 62
-71.970 -31.309 1.000 1.000 19.110 4.000 17.550 324.000 63
-71.792 -31.319 1.000 1.000 24.940 4.000 20.230 324.000 64
-71.616 -31.330 1.000 1.000 31.540 4.000 22.830 324.000 65
-71.444 -31.339 1.000 1.000 38.890 4.000 25.360 324.000 66
-71.275 -31.349 1.000 1.000 46.950 4.000 27.840 324.000 67
-71.110 -31.357 1.000 1.000 55.690 4.000 30.270 324.000 68
-70.949 -31.366 1.000 1.000 65.090 4.000 32.660 324.000 69
-72.507 -31.113 1.000 1.000 6.720 4.000 8.820 324.000 70
-72.321 -31.125 1.000 1.000 9.950 4.000 11.880 324.000 71
-72.138 -31.136 1.000 1.000 14.100 4.000 14.780 324.000 72
-71.957 -31.147 1.000 1.000 19.110 4.000 17.550 324.000 73
-71.779 -31.157 1.000 1.000 24.940 4.000 20.230 324.000 74
-71.604 -31.168 1.000 1.000 31.540 4.000 22.830 324.000 75
-71.432 -31.177 1.000 1.000 38.890 4.000 25.360 324.000 76
-71.263 -31.186 1.000 1.000 46.950 4.000 27.840 324.000 77
-71.098 -31.195 1.000 1.000 55.690 4.000 30.270 324.000 78
-70.937 -31.204 1.000 1.000 65.090 4.000 32.660 324.000 79
-72.493 -30.951 1.000 1.000 6.720 4.000 8.820 324.000 80
-72.308 -30.962 1.000 1.000 9.950 4.000 11.880 324.000 81
-72.125 -30.974 1.000 1.000 14.100 4.000 14.780 324.000 82
-71.944 -30.985 1.000 1.000 19.110 4.000 17.550 324.000 83
-71.766 -30.995 1.000 1.000 24.940 4.000 20.230 324.000 84
-71.591 -31.005 1.000 1.000 31.540 4.000 22.830 324.000 85
-71.419 -31.015 1.000 1.000 38.890 4.000 25.360 324.000 86
-71.251 -31.024 1.000 1.000 46.950 4.000 27.840 324.000 87
-71.086 -31.033 1.000 1.000 55.690 4.000 30.270 324.000 88
-70.926 -31.042 1.000 1.000 65.090 4.000 32.660 324.000 89
-72.479 -30.789 1.000 1.000 6.720 4.000 8.820 324.000 90
-72.294 -30.800 1.000 1.000 9.950 4.000 11.880 324.000 91
-72.111 -30.812 1.000 1.000 14.100 4.000 14.780 324.000 92
-71.931 -30.823 1.000 1.000 19.110 4.000 17.550 324.000 93
-71.753 -30.833 1.000 1.000 24.940 4.000 20.230 324.000 94
-71.579 -30.843 1.000 1.000 31.540 4.000 22.830 324.000 95
-71.407 -30.853 1.000 1.000 38.890 4.000 25.360 324.000 96
-71.239 -30.862 1.000 1.000 46.950 4.000 27.840 324.000 97
-71.075 -30.871 1.000 1.000 55.690 4.000 30.270 324.000 98
-70.914 -30.879 1.000 1.000 65.090 4.000 32.660 324.000 99
-72.465 -30.627 1.000 1.000 6.720 4.000 8.820 324.000 100
-72.281 -30.638 1.000 1.000 9.950 4.000 11.880 324.000 101
-72.098 -30.650 1.000 1.000 14.100 4.000 14.780 324.000 102
-71.918 -30.661 1.000 1.000 19.110 4.000 17.550 324.000 103
-71.741 -30.671 1.000 1.000 24.940 4.000 20.230 324.000 104
-71.566 -30.681 1.000 1.000 31.540 4.000 22.830 324.000 105
-71.395 -30.691 1.000 1.000 38.890 4.000 25.360 324.000 106
-71.227 -30.700 1.000 1.000 46.950 4.000 27.840 324.000 107
-71.063 -30.709 1.000 1.000 55.690 4.000 30.270 324.000 108
-70.903 -30.717 1.000 1.000 65.090 4.000 32.660 324.000 109
-72.451 -30.465 1.000 1.000 6.720 4.000 8.820 324.000 110
-72.267 -30.476 1.000 1.000 9.950 4.000 11.880 324.000 111
-72.085 -30.488 1.000 1.000 14.100 4.000 14.780 324.000 112
-71.905 -30.498 1.000 1.000 19.110 4.000 17.550 324.000 113
-71.728 -30.509 1.000 1.000 24.940 4.000 20.230 324.000 114
-71.554 -30.519 1.000 1.000 31.540 4.000 22.830 324.000 115
-71.383 -30.529 1.000 1.000 38.890 4.000 25.360 324.000 116
-71.215 -30.538 1.000 1.000 46.950 4.000 27.840 324.000 117
-71.052 -30.547 1.000 1.000 55.690 4.000 30.270 324.000 118
-70.892 -30.555 1.000 1.000 65.090 4.000 32.660 324.000 119
-72.437 -30.303 1.000 1.000 6.720 4.000 8.820 324.000 120
-72.253 -30.314 1.000 1.000 9.950 4.000 11.880 324.000 121
-72.072 -30.325 1.000 1.000 14.100 4.000 14.780 324.000 122
-71.892 -30.336 1.000 1.000 19.110 4.000 17.550 324.000 123
-71.715 -30.347 1.000 1.000 24.940 4.000 20.230 324.000 124
-71.542 -30.357 1.000 1.000 31.540 4.000 22.830 324.000 125
-71.371 -30.366 1.000 1.000 38.890 4.000 25.360 324.000 126
-71.204 -30.376 1.000 1.000 46.950 4.000 27.840 324.000 127
-71.040 -30.385 1.000 1.000 55.690 4.000 30.270 324.000 128
-70.881 -30.393 1.000 1.000 65.090 4.000 32.660 324.000 129
-72.423 -30.141 1.000 1.000 6.720 4.000 8.820 324.000 130
-72.240 -30.152 1.000 1.000 9.950 4.000 11.880 324.000 131
-72.059 -30.163 1.000 1.000 14.100 4.000 14.780 324.000 132
-71.879 -30.174 1.000 1.000 19.110 4.000 17.550 324.000 133
-71.703 -30.185 1.000 1.000 24.940 4.000 20.230 324.000 134
-71.529 -30.195 1.000 1.000 31.540 4.000 22.830 324.000 135
-71.359 -30.204 1.000 1.000 38.890 4.000 25.360 324.000 136
-71.192 -30.214 1.000 1.000 46.950 4.000 27.840 324.000 137
-71.029 -30.222 1.000 1.000 55.690 4.000 30.270 324.000 138
-70.869 -30.231 1.000 1.000 65.090 4.000 32.660 324.000 139
-72.410 -29.978 1.000 1.000 6.720 4.000 8.820 324.000 140
-72.227 -29.990 1.000 1.000 9.950 4.000 11.880 324.000 141
-72.045 -30.001 1.000 1.000 14.100 4.000 14.780 324.000 142
-71.867 -30.012 1.000 1.000 19.110 4.000 17.550 324.000 143
-71.690 -30.023 1.000 1.000 24.940 4.000 20.230 324.000 144
-71.517 -30.033 1.000 1.000 31.540 4.000 22.830 324.000 145
-71.347 -30.042 1.000 1.000 38.890 4.000 25.360 324.000 146
-71.180 -30.051 1.000 1.000 46.950 4.000 27.840 324.000 147
-71.017 -30.060 1.000 1.000 55.690 4.000 30.270 324.000 148
-70.858 -30.069 1.000 1.000 65.090 4.000 32.660 324.000 149
-72.396 -29.816 1.000 1.000 6.720 4.000 8.820 324.000 150
-72.213 -29.828 1.000 1.000 9.950 4.000 11.880 324.000 151
-72.032 -29.839 1.000 1.000 14.100 4.000 14.780 324.000 152
-71.854 -29.850 1.000 1.000 19.110 4.000 17.550 324.000 153
-71.678 -29.860 1.000 1.000 24.940 4.000 20.230 324.000 154
-71.505 -29.870 1.000 1.000 31.540 4.000 22.830 324.000 155
-71.335 -29.880 1.000 1.000 38.890 4.000 25.360 324.000 156
-71.169 -29.889 1.000 1.000 46.950 4.000 27.840 324.000 157
-71.006 -29.898 1.000 1.000 55.690 4.000 30.270 324.000 158
