# lon lat E[km] N[km] Dep[km] strike dip Area ID
-71.058 -20.855 1.000 1.000 9.030 -13.580 9.010 289.000 0
-70.902 -20.819 1.000 1.000 12.150 -13.580 12.150 289.000 1
-70.748 -20.784 1.000 1.000 16.100 -13.580 14.780 289.000 2
-70.595 -20.750 1.000 1.000 20.760 -13.580 16.990 289.000 3
-70.444 -20.715 1.000 1.000 25.980 -13.580 18.820 289.000 4
-70.295 -20.681 1.000 1.000 31.680 -13.580 20.340 289.000 5
-70.147 -20.646 1.000 1.000 37.760 -13.580 21.590 289.000 6
-70.000 -20.612 1.000 1.000 44.160 -13.580 22.620 289.000 7
-69.855 -20.578 1.000 1.000 50.820 -13.580 23.470 289.000 8
-69.710 -20.545 1.000 1.000 57.680 -13.580 24.160 289.000 9
-69.566 -20.511 1.000 1.000 64.720 -13.580 24.740 289.000 10
-71.096 -20.705 1.000 1.000 9.030 -13.580 9.010 289.000 11
-70.940 -20.670 1.000 1.000 12.150 -13.580 12.150 289.000 12
-70.786 -20.635 1.000 1.000 16.100 -13.580 14.780 289.000 13
-70.634 -20.600 1.000 1.000 20.760 -13.580 16.990 289.000 14
-70.483 -20.566 1.000 1.000 25.980 -13.580 18.820 289.000 15
-70.334 -20.531 1.000 1.000 31.680 -13.580 20.340 289.000 16
-70.186 -20.497 1.000 1.000 37.760 -13.580 21.590 289.000 17
-70.039 -20.463 1.000 1.000 44.160 -13.580 22.620 289.000 18
-69.894 -20.429 1.000 1.000 50.820 -13.580 23.470 289.000 19
-69.749 -20.396 1.000 1.000 57.680 -13.580 24.160 289.000 20
-69.605 -20.362 1.000 1.000 64.720 -13.580 24.740 289.000 21
-71.134 -20.556 1.000 1.000 9.030 -13.580 9.010 289.000 22
-70.978 -20.521 1.000 1.000 12.150 -13.580 12.150 289.000 23
-70.824 -20.486 1.000 1.000 16.100 -13.580 14.780 289.000 24
-70.672 -20.451 1.000 1.000 20.760 -13.580 16.990 289.000 25
-70.521 -20.417 1.000 1.000 25.980 -13.580 18.820 289.000 26
-70.372 -20.382 1.000 1.000 31.680 -13.580 20.340 289.000 27
-70.225 -20.348 1.000 1.000 37.760 -13.580 21.590 289.000 28
-70.078 -20.314 1.000 1.000 44.160 -13.580 22.620 289.000 29
-69.933 -20.280 1.000 1.000 50.820 -13.580 23.470 289.000 30
-69.788 -20.247 1.000 1.000 57.680 -13.580 24.160 289.000 31
-69.645 -20.213 1.000 1.000 64.720 -13.580 24.740 289.000 32
-71.172 -20.407 1.000 1.000 9.030 -13.580 9.010 289.000 33
-71.016 -20.372 1.000 1.000 12.150 -13.580 12.150 289.000 34
-70.863 -20.337 1.000 1.000 16.100 -13.580 14.780 289.000 35
-70.710 -20.302 1.000 1.000 20.760 -13.580 16.990 289.000 36
-70.560 -20.267 1.000 1.000 25.980 -13.580 18.820 289.000 37
-70.411 -20.233 1.000 1.000 31.680 -13.580 20.340 289.000 38
-70.263 -20.199 1.000 1.000 37.760 -13.580 21.590 289.000 39
-70.117 -20.165 1.000 1.000 44.160 -13.580 22.620 289.000 40
-69.972 -20.131 1.000 1.000 50.820 -13.580 23.470 289.000 41
-69.828 -20.098 1.000 1.000 57.680 -13.580 24.160 289.000 42
-69.684 -20.064 1.000 1.000 64.720 -13.580 24.740 289.000 43
-71.210 -20.257 1.000 1.000 9.030 -13.580 9.010 289.000 44
-71.055 -20.222 1.000 1.000 12.150 -13.580 12.150 289.000 45
-70.901 -20.187 1.000 1.000 16.100 -13.580 14.780 289.000 46
-70.749 -20.153 1.000 1.000 20.760 -13.580 16.990 289.000 47
-70.598 -20.118 1.000 1.000 25.980 -13.580 18.820 289.000 48
-70.450 -20.084 1.000 1.000 31.680 -13.580 20.340 289.000 49
-70.302 -20.050 1.000 1.000 37.760 -13.580 21.590 289.000 50
-70.156 -20.016 1.000 1.000 44.160 -13.580 22.620 289.000 51
-70.011 -19.982 1.000 1.000 50.820 -13.580 23.470 289.000 52
-69.867 -19.949 1.000 1.000 57.680 -13.580 24.160 289.000 53
-69.723 -19.915 1.000 1.000 64.720 -13.580 24.740 289.000 54
-71.248 -20.108 1.000 1.000 9.030 -13.580 9.010 289.000 55
-71.092 -20.073 1.000 1.000 12.150 -13.580 12.150 289.000 56
-70.939 -20.038 1.000 1.000 16.100 -13.580 14.780 289.000 57
-70.787 -20.003 1.000 1.000 20.760 -13.580 16.990 289.000 58
-70.637 -19.969 1.000 1.000 25.980 -13.580 18.820 289.000 59
-70.488 -19.935 1.000 1.000 31.680 -13.580 20.340 289.000 60
-70.341 -19.901 1.000 1.000 37.760 -13.580 21.590 289.000 61
-70.195 -19.867 1.000 1.000 44.160 -13.580 22.620 289.000 62
-70.050 -19.833 1.000 1.000 50.820 -13.580 23.470 289.000 63
-69.906 -19.799 1.000 1.000 57.680 -13.580 24.160 289.000 64
-69.762 -19.766 1.000 1.000 64.720 -13.580 24.740 289.000 65
-71.286 -19.959 1.000 1.000 9.030 -13.580 9.010 289.000 66
-71.130 -19.924 1.000 1.000 12.150 -13.580 12.150 289.000 67
-70.977 -19.889 1.000 1.000 16.100 -13.580 14.780 289.000 68
-70.825 -19.854 1.000 1.000 20.760 -13.580 16.990 289.000 69
-70.675 -19.820 1.000 1.000 25.980 -13.580 18.820 289.000 70
-70.526 -19.786 1.000 1.000 31.680 -13.580 20.340 289.000 71
-70.379 -19.752 1.000 1.000 37.760 -13.580 21.590 289.000 72
-70.233 -19.718 1.000 1.000 44.160 -13.580 22.620 289.000 73
-70.088 -19.684 1.000 1.000 50.820 -13.580 23.470 289.000 74
-69.944 -19.650 1.000 1.000 57.680 -13.580 24.160 289.000 75
-69.801 -19.617 1.000 1.000 64.720 -13.580 24.740 289.000 76
-71.323 -19.809 1.000 1.000 9.030 -13.580 9.010 289.000 77
-71.168 -19.774 1.000 1.000 12.150 -13.580 12.150 289.000 78
-71.015 -19.739 1.000 1.000 16.100 -13.580 14.780 289.000 79
-70.863 -19.705 1.000 1.000 20.760 -13.580 16.990 289.000 80
-70.713 -19.670 1.000 1.000 25.980 -13.580 18.820 289.000 81
-70.565 -19.636 1.000 1.000 31.680 -13.580 20.340 289.000 82
-70.418 -19.602 1.000 1.000 37.760 -13.580 21.590 289.000 83
-70.272 -19.569 1.000 1.000 44.160 -13.580 22.620 289.000 84
-70.127 -19.535 1.000 1.000 50.820 -13.580 23.470 289.000 85
-69.983 -19.501 1.000 1.000 57.680 -13.580 24.160 289.000 86
-69.840 -19.468 1.000 1.000 64.720 -13.580 24.740 289.000 87
-71.361 -19.660 1.000 1.000 9.030 -13.580 9.010 289.000 88
-71.206 -19.625 1.000 1.000 12.150 -13.580 12.150 289.000 89
-71.053 -19.590 1.000 1.000 16.100 -13.580 14.780 289.000 90
-70.901 -19.556 1.000 1.000 20.760 -13.580 16.990 289.000 91
-70.751 -19.521 1.000 1.000 25.980 -13.580 18.820 289.000 92
-70.603 -19.487 1.000 1.000 31.680 -13.580 20.340 289.000 93
-70.456 -19.453 1.000 1.000 37.760 -13.580 21.590 289.000 94
-70.310 -19.419 1.000 1.000 44.160 -13.580 22.620 289.000 95
-70.166 -19.386 1.000 1.000 50.820 -13.580 23.470 289.000 96
-70.022 -19.352 1.000 1.000 57.680 -13.580 24.160 289.000 97
-69.879 -19.319 1.000 1.000 64.720 -13.580 24.740 289.000 98
-71.398 -19.511 1.000 1.000 9.030 -13.580 9.010 289.000 99
-71.244 -19.476 1.000 1.000 12.150 -13.580 12.150 289.000 100
