lon[deg]  lat[deg]  E[km]  N[km]  Dep[km]  strike  dip  Area  ID
 -80.8559   -0.3692 -103.6287  -79.8671   11.4810   27.055   10.075  225.237 00000
 -80.7381   -0.4298  -90.5178  -86.5631   14.3814   27.054   12.216  225.218 00001
 -80.6215   -0.4898  -77.5282  -93.1968   17.8948   27.053   14.871  225.199 00002
 -80.5063   -0.5490  -64.7063  -99.7445   22.1093   27.052   17.762  225.180 00003
 -80.3930   -0.6073  -52.0907 -106.1866   27.0451   27.051   20.660  225.161 00004
 -80.2817   -0.6645  -39.7036 -112.5117   32.6637   27.050   23.335  225.143 00005
 -80.1724   -0.7207  -27.5360 -118.7245   38.8599   27.049   25.458  225.127 00006
 -80.0647   -0.7760  -15.5549 -124.8417   45.5000   27.048   27.085  225.111 00007
 -80.7946   -0.2484  -96.8022  -66.5017   11.4810   27.058   10.075  225.228 00008
 -80.6768   -0.3090  -83.6919  -73.1981   14.3814   27.056   12.217  225.209 00009
 -80.5601   -0.3690  -70.7028  -79.8321   17.8948   27.055   14.871  225.190 00010
 -80.4450   -0.4282  -57.8814  -86.3803   22.1093   27.054   17.763  225.171 00011
 -80.3316   -0.4864  -45.2664  -92.8227   27.0451   27.053   20.660  225.153 00012
 -80.2204   -0.5437  -32.8797  -99.1482   32.6637   27.052   23.335  225.135 00013
 -80.1111   -0.5999  -20.7126 -105.3613   38.8599   27.051   25.458  225.118 00014
 -80.0034   -0.6552   -8.7320 -111.4789   45.5000   27.050   27.085  225.103 00015
 -80.7332   -0.1275  -89.9754  -53.1369   11.4810   27.060   10.075  225.219 00016
 -80.6155   -0.1881  -76.8656  -59.8336   14.3814   27.059   12.217  225.200 00017
 -80.4988   -0.2481  -63.8770  -66.4681   17.8948   27.058   14.872  225.182 00018
 -80.3836   -0.3073  -51.0562  -73.0166   22.1093   27.056   17.763  225.163 00019
 -80.2703   -0.3656  -38.4416  -79.4594   27.0451   27.055   20.660  225.144 00020
 -80.1591   -0.4228  -26.0555  -85.7852   32.6637   27.054   23.336  225.127 00021
 -80.0498   -0.4790  -13.8888  -91.9987   38.8599   27.053   25.459  225.110 00022
 -79.9421   -0.5343   -1.9087  -98.1166   45.5000   27.052   27.086  225.094 00023
 -80.6719   -0.0067  -83.1482  -39.7726   11.4810   27.062   10.075  225.210 00024
 -80.5542   -0.0673  -70.0389  -46.4697   14.3814   27.061   12.217  225.192 00025
 -80.4375   -0.1273  -57.0509  -53.1045   17.8948   27.060   14.872  225.173 00026
 -80.3223   -0.1865  -44.2305  -59.6534   22.1093   27.059   17.763  225.154 00027
 -80.2090   -0.2448  -31.6165  -66.0966   27.0451   27.058   20.661  225.136 00028
 -80.0978   -0.3020  -19.2309  -72.4228   32.6637   27.057   23.336  225.118 00029
 -79.9885   -0.3582   -7.0647  -78.6366   38.8599   27.056   25.459  225.102 00030
 -79.8808   -0.4135    4.9150  -84.7549   45.5000   27.054   27.086  225.086 00031
 -80.6106    0.1142  -76.3206  -26.4088   11.4810   27.064   10.075  225.201 00032
 -80.4928    0.0536  -63.2118  -33.1063   14.3814   27.063   12.217  225.183 00033
 -80.3762   -0.0064  -50.2243  -39.7415   17.8948   27.062   14.872  225.164 00034
 -80.2610   -0.0656  -37.4045  -46.2908   22.1093   27.061   17.764  225.145 00035
 -80.1477   -0.1239  -24.7909  -52.7343   27.0451   27.060   20.661  225.127 00036
 -80.0364   -0.1811  -12.4058  -59.0609   32.6637   27.059   23.336  225.110 00037
 -79.9272   -0.2373   -0.2401  -65.2751   38.8599   27.058   25.460  225.094 00038
 -79.8195   -0.2927   11.7390  -71.3937   45.5000   27.057   27.087  225.078 00039
 -80.5493    0.2350  -69.4926  -13.0456   11.4810   27.067   10.076  225.192 00040
 -80.4315    0.1744  -56.3844  -19.7434   14.3814   27.066   12.218  225.174 00041
 -80.3148    0.1144  -43.3974  -26.3790   17.8948   27.064   14.872  225.155 00042
 -80.1997    0.0552  -30.5780  -32.9287   22.1093   27.063   17.764  225.137 00043
 -80.0864   -0.0031  -17.9650  -39.3726   27.0451   27.062   20.662  225.119 00044
 -79.9751   -0.0603   -5.5804  -45.6995   32.6637   27.061   23.337  225.101 00045
 -79.8658   -0.1165    6.5848  -51.9141   38.8599   27.060   25.460  225.085 00046
 -79.7582   -0.1718   18.5635  -58.0330   45.5000   27.059   27.087  225.070 00047
 -80.4879    0.3559  -62.6642    0.3171   11.4810   27.069   10.076  225.183 00048
 -80.3702    0.2953  -49.5565   -6.3811   14.3814   27.068   12.218  225.165 00049
 -80.2535    0.2353  -36.5700  -13.0171   17.8948   27.067   14.873  225.146 00050
 -80.1384    0.1760  -23.7512  -19.5671   22.1093   27.066   17.764  225.128 00051
 -80.0251    0.1178  -11.1387  -26.0114   27.0451   27.064   20.662  225.110 00052
 -79.9138    0.0605    1.2454  -32.3387   32.6637   27.063   23.337  225.093 00053
 -79.8045    0.0043   13.4101  -38.5536   38.8599   27.062   25.460  225.077 00054
 -79.6969   -0.0510   25.3883  -44.6729   45.5000   27.061   27.088  225.062 00055
 -80.4266    0.4767  -55.8354   13.6793   11.4810   27.071   10.076  225.174 00056
 -80.3088    0.4161  -42.7282    6.9806   14.3814   27.070   12.218  225.156 00057
 -80.1922    0.3561  -29.7423    0.3443   17.8948   27.069   14.873  225.138 00058
 -80.0770    0.2969  -16.9240   -6.2061   22.1093   27.068   17.765  225.119 00059
