,lat,lon,depth,strike,dip
0,-0.3692,-80.8559,11.481,27.055,10.075
1,-0.4298,-80.7381,14.3814,27.054,12.216
2,-0.4898,-80.6215,17.8948,27.053,14.871
3,-0.549,-80.5063,22.1093,27.052,17.762
4,-0.6073,-80.393,27.0451,27.051,20.66
5,-0.6645,-80.2817,32.6637,27.05,23.335
6,-0.7207,-80.1724,38.8599,27.049,25.458
7,-0.776,-80.0647,45.5,27.048,27.085
8,-0.2484,-80.7946,11.481,27.058,10.075
9,-0.309,-80.6768,14.3814,27.056,12.217
10,-0.369,-80.5601,17.8948,27.055,14.871
11,-0.4282,-80.445,22.1093,27.054,17.763
12,-0.4864,-80.3316,27.0451,27.053,20.66
13,-0.5437,-80.2204,32.6637,27.052,23.335
14,-0.5999,-80.1111,38.8599,27.051,25.458
15,-0.6552,-80.0034,45.5,27.05,27.085
16,-0.1275,-80.7332,11.481,27.06,10.075
17,-0.1881,-80.6155,14.3814,27.059,12.217
18,-0.2481,-80.4988,17.8948,27.058,14.872
19,-0.3073,-80.3836,22.1093,27.056,17.763
20,-0.3656,-80.2703,27.0451,27.055,20.66
21,-0.4228,-80.1591,32.6637,27.054,23.336
22,-0.479,-80.0498,38.8599,27.053,25.459
23,-0.5343,-79.9421,45.5,27.052,27.086
24,-0.0067,-80.6719,11.481,27.062,10.075
25,-0.0673,-80.5542,14.3814,27.061,12.217
26,-0.1273,-80.4375,17.8948,27.06,14.872
27,-0.1865,-80.3223,22.1093,27.059,17.763
28,-0.2448,-80.209,27.0451,27.058,20.661
29,-0.302,-80.0978,32.6637,27.057,23.336
30,-0.3582,-79.9885,38.8599,27.056,25.459
31,-0.4135,-79.8808,45.5,27.054,27.086
32,0.1142,-80.6106,11.481,27.064,10.075
33,0.0536,-80.4928,14.3814,27.063,12.217
34,-0.0064,-80.3762,17.8948,27.062,14.872
35,-0.0656,-80.261,22.1093,27.061,17.764
36,-0.1239,-80.1477,27.0451,27.06,20.661
37,-0.1811,-80.0364,32.6637,27.059,23.336
38,-0.2373,-79.9272,38.8599,27.058,25.46
39,-0.2927,-79.8195,45.5,27.057,27.087
40,0.235,-80.5493,11.481,27.067,10.076
41,0.1744,-80.4315,14.3814,27.066,12.218
42,0.1144,-80.3148,17.8948,27.064,14.872
43,0.0552,-80.1997,22.1093,27.063,17.764
44,-0.0031,-80.0864,27.0451,27.062,20.662
45,-0.0603,-79.9751,32.6637,27.061,23.337
46,-0.1165,-79.8658,38.8599,27.06,25.46
47,-0.1718,-79.7582,45.5,27.059,27.087
48,0.3559,-80.4879,11.481,27.069,10.076
49,0.2953,-80.3702,14.3814,27.068,12.218
50,0.2353,-80.2535,17.8948,27.067,14.873
51,0.176,-80.1384,22.1093,27.066,17.764
52,0.1178,-80.0251,27.0451,27.064,20.662
53,0.0605,-79.9138,32.6637,27.063,23.337
54,0.0043,-79.8045,38.8599,27.062,25.46
55,-0.051,-79.6969,45.5,27.061,27.088
56,0.4767,-80.4266,11.481,27.071,10.076
57,0.4161,-80.3088,14.3814,27.07,12.218
58,0.3561,-80.1922,17.8948,27.069,14.873
59,0.2969,-80.077,22.1093,27.068,17.765
60,0.2386,-79.9637,27.0451,27.067,20.662
61,0.1814,-79.8525,32.6637,27.066,23.338
62,0.1252,-79.7432,38.8599,27.065,25.461
63,0.0698,-79.6356,45.5,27.064,27.088
64,0.5975,-80.3652,11.481,27.073,10.076
65,0.537,-80.2475,14.3814,27.072,12.218
66,0.4769,-80.1308,17.8948,27.071,14.873
67,0.4177,-80.0157,22.1093,27.07,17.765
68,0.3594,-79.9024,27.0451,27.069,20.663
69,0.3022,-79.7912,32.6637,27.068,23.338
70,0.246,-79.6819,38.8599,27.067,25.461
71,0.1906,-79.5743,45.5,27.066,27.089
72,0.7184,-80.3039,11.481,27.076,10.076
73,0.6578,-80.1862,14.3814,27.075,12.219
74,0.5978,-80.0695,17.8948,27.073,14.874
75,0.5385,-79.9544,22.1093,27.072,17.765
76,0.4802,-79.8411,27.0451,27.071,20.663
77,0.423,-79.7298,32.6637,27.07,23.338
78,0.3668,-79.6206,38.8599,27.069,25.462
79,0.3114,-79.513,45.5,27.068,27.089
