# lon lat E[km] N[km] Dep[km] strike dip Area ID
-80.856 -0.369 1.000 1.000 11.481 27.055 10.075 225.000 0
-80.738 -0.430 1.000 1.000 14.381 27.054 12.216 225.000 1
-80.621 -0.490 1.000 1.000 17.895 27.053 14.871 225.000 2
-80.506 -0.549 1.000 1.000 22.109 27.052 17.762 225.000 3
-80.393 -0.607 1.000 1.000 27.045 27.051 20.660 225.000 4
-80.282 -0.664 1.000 1.000 32.664 27.050 23.335 225.000 5
-80.172 -0.721 1.000 1.000 38.860 27.049 25.458 225.000 6
-80.065 -0.776 1.000 1.000 45.500 27.048 27.085 225.000 7
-80.795 -0.248 1.000 1.000 11.481 27.058 10.075 225.000 8
-80.677 -0.309 1.000 1.000 14.381 27.056 12.217 225.000 9
-80.560 -0.369 1.000 1.000 17.895 27.055 14.871 225.000 10
-80.445 -0.428 1.000 1.000 22.109 27.054 17.763 225.000 11
-80.332 -0.486 1.000 1.000 27.045 27.053 20.660 225.000 12
-80.220 -0.544 1.000 1.000 32.664 27.052 23.335 225.000 13
-80.111 -0.600 1.000 1.000 38.860 27.051 25.458 225.000 14
-80.003 -0.655 1.000 1.000 45.500 27.050 27.085 225.000 15
-80.733 -0.128 1.000 1.000 11.481 27.060 10.075 225.000 16
-80.615 -0.188 1.000 1.000 14.381 27.059 12.217 225.000 17
-80.499 -0.248 1.000 1.000 17.895 27.058 14.872 225.000 18
-80.384 -0.307 1.000 1.000 22.109 27.056 17.763 225.000 19
-80.270 -0.366 1.000 1.000 27.045 27.055 20.660 225.000 20
-80.159 -0.423 1.000 1.000 32.664 27.054 23.336 225.000 21
-80.050 -0.479 1.000 1.000 38.860 27.053 25.459 225.000 22
-79.942 -0.534 1.000 1.000 45.500 27.052 27.086 225.000 23
-80.672 -0.007 1.000 1.000 11.481 27.062 10.075 225.000 24
-80.554 -0.067 1.000 1.000 14.381 27.061 12.217 225.000 25
-80.438 -0.127 1.000 1.000 17.895 27.060 14.872 225.000 26
-80.322 -0.186 1.000 1.000 22.109 27.059 17.763 225.000 27
-80.209 -0.245 1.000 1.000 27.045 27.058 20.661 225.000 28
