,lat,lon,depth,strike,dip
0,41.246899,144.857036,8.07,194.0,3.0
1,41.315339,144.523522,9.71,194.0,4.0
2,41.382646,144.190194,12.34,194.0,6.0
3,41.448608,143.858074,16.35,194.0,10.0
4,41.512957,143.528708,22.07,194.0,13.0
5,41.575368,143.203929,29.69,194.0,17.0
6,41.635539,142.885607,39.25,194.0,21.0
7,41.693228,142.575323,50.71,194.0,25.0
8,41.748324,142.274181,63.94,194.0,29.0
9,40.995001,144.765932,8.07,194.0,3.0
10,41.063161,144.433583,9.71,194.0,4.0
11,41.130203,144.101429,12.34,194.0,6.0
12,41.195918,143.77049,16.35,194.0,10.0
13,41.260021,143.442305,22.07,194.0,13.0
14,41.322198,143.118699,29.69,194.0,17.0
15,41.382137,142.801537,39.25,194.0,21.0
16,41.439625,142.492391,50.71,194.0,25.0
17,41.494522,142.192374,63.94,194.0,29.0
18,40.742999,144.675539,8.07,194.0,3.0
19,40.8109,144.344355,9.71,194.0,4.0
20,40.877682,144.013351,12.34,194.0,6.0
21,40.943137,143.683592,16.35,194.0,10.0
22,41.007007,143.356574,22.07,194.0,13.0
23,41.068944,143.03413,29.69,194.0,17.0
24,41.128673,142.718102,39.25,194.0,21.0
25,41.185945,142.410093,50.71,194.0,25.0
26,41.240649,142.111165,63.94,194.0,29.0
27,40.490912,144.585856,8.07,194.0,3.0
28,40.558549,144.2558,9.71,194.0,4.0
29,40.625066,143.925959,12.34,194.0,6.0
30,40.690284,143.597342,16.35,194.0,10.0
31,40.753908,143.27148,22.07,194.0,13.0
32,40.815627,142.950184,29.69,194.0,17.0
33,40.87514,142.635301,39.25,194.0,21.0
34,40.93221,142.328395,50.71,194.0,25.0
35,40.986723,142.030554,63.94,194.0,29.0
36,40.238724,144.496847,8.07,194.0,3.0
37,40.306102,144.16792,9.71,194.0,4.0
38,40.372377,143.839216,12.34,194.0,6.0
39,40.437351,143.511754,16.35,194.0,10.0
40,40.500742,143.187022,22.07,194.0,13.0
41,40.562238,142.866861,29.69,194.0,17.0
42,40.621532,142.553101,39.25,194.0,21.0
43,40.678411,142.247295,50.71,194.0,25.0
44,40.732738,141.950542,63.94,194.0,29.0
45,39.986455,144.408512,8.07,194.0,3.0
46,40.053578,144.080713,9.71,194.0,4.0
47,40.119606,143.753122,12.34,194.0,6.0
48,40.184332,143.426791,16.35,194.0,10.0
49,40.247494,143.103201,22.07,194.0,13.0
50,40.308771,142.784163,29.69,194.0,17.0
51,40.367866,142.4715,39.25,194.0,21.0
52,40.424542,142.166795,50.71,194.0,25.0
53,40.478685,141.871094,63.94,194.0,29.0
54,39.734097,144.32085,8.07,194.0,3.0
55,39.80097,143.994143,9.71,194.0,4.0
56,39.866745,143.667677,12.34,194.0,6.0
57,39.931246,143.342452,16.35,194.0,10.0
58,39.994183,143.019981,22.07,194.0,13.0
59,40.055245,142.702054,29.69,194.0,17.0
60,40.114137,142.390499,39.25,194.0,21.0
61,40.170621,142.086859,50.71,194.0,25.0
62,40.224584,141.79221,63.94,194.0,29.0
63,39.481644,144.233825,8.07,194.0,3.0
64,39.54827,143.908211,9.71,194.0,4.0
65,39.613816,143.582847,12.34,194.0,6.0
66,39.678086,143.25874,16.35,194.0,10.0
67,39.740801,142.937362,22.07,194.0,13.0
68,39.801653,142.620534,29.69,194.0,17.0
69,39.860336,142.310065,39.25,194.0,21.0
70,39.91664,142.007489,50.71,194.0,25.0
71,39.970419,141.713893,63.94,194.0,29.0
72,39.229115,144.147438,8.07,194.0,3.0
73,39.295498,143.822917,9.71,194.0,4.0
74,39.360809,143.49863,12.34,194.0,6.0
75,39.424845,143.175618,16.35,194.0,10.0
76,39.487342,142.855346,22.07,194.0,13.0
77,39.547987,142.539605,29.69,194.0,17.0
78,39.606483,142.230196,39.25,194.0,21.0
79,39.662594,141.928686,50.71,194.0,25.0
80,39.716209,141.636106,63.94,194.0,29.0
81,38.976503,144.06169,8.07,194.0,3.0
82,39.042639,143.738226,9.71,194.0,4.0
83,39.107719,143.415029,12.34,194.0,6.0
84,39.171541,143.093087,16.35,194.0,10.0
85,39.233825,142.773897,22.07,194.0,13.0
86,39.294267,142.459231,29.69,194.0,17.0
87,39.352561,142.150895,39.25,194.0,21.0
88,39.408501,141.850414,50.71,194.0,25.0
89,39.461946,141.558852,63.94,194.0,29.0
90,38.723801,143.976544,8.07,194.0,3.0
91,38.789711,143.654139,9.71,194.0,4.0
92,38.854565,143.332008,12.34,194.0,6.0
93,38.918159,143.011149,16.35,194.0,10.0
94,38.980243,142.693017,22.07,194.0,13.0
95,39.040476,142.379414,29.69,194.0,17.0
96,39.098591,142.072128,39.25,194.0,21.0
97,39.154344,141.772677,50.71,194.0,25.0
98,39.207623,141.482133,63.94,194.0,29.0
99,38.471028,143.892002,8.07,194.0,3.0
100,38.536708,143.570656,9.71,194.0,4.0
101,38.60133,143.249568,12.34,194.0,6.0
102,38.664718,142.929768,16.35,194.0,10.0
103,38.726587,142.612706,22.07,194.0,13.0
104,38.786633,142.300155,29.69,194.0,17.0
105,38.844563,141.993895,39.25,194.0,21.0
106,38.900143,141.695475,50.71,194.0,25.0
107,38.953259,141.405914,63.94,194.0,29.0
108,38.218168,143.808065,8.07,194.0,3.0
109,38.283622,143.487743,9.71,194.0,4.0
110,38.348034,143.16771,12.34,194.0,6.0
111,38.411211,142.848946,16.35,194.0,10.0
112,38.472878,142.532932,22.07,194.0,13.0
113,38.532732,142.22142,29.69,194.0,17.0
114,38.590472,141.916199,39.25,194.0,21.0
115,38.64589,141.618774,50.71,194.0,25.0
116,38.698847,141.330198,63.94,194.0,29.0
117,37.96524,143.724699,8.07,194.0,3.0
118,38.030472,143.405401,9.71,194.0,4.0
119,38.094669,143.0864,12.34,194.0,6.0
120,38.15763,142.768685,16.35,194.0,10.0
121,38.219099,142.453695,22.07,194.0,13.0
122,38.278765,142.143212,29.69,194.0,17.0
123,38.336336,141.839006,39.25,194.0,21.0
124,38.391578,141.542578,50.71,194.0,25.0
125,38.444379,141.254986,63.94,194.0,29.0
126,37.712238,143.641905,8.07,194.0,3.0
127,37.777251,143.323632,9.71,194.0,4.0
128,37.841228,143.005652,12.34,194.0,6.0
129,37.903995,142.68895,16.35,194.0,10.0
130,37.96527,142.374996,22.07,194.0,13.0
131,38.024751,142.065531,29.69,194.0,17.0
132,38.082147,141.762317,39.25,194.0,21.0
133,38.137226,141.466886,50.71,194.0,25.0
134,38.189875,141.180245,63.94,194.0,29.0
135,37.459154,143.559683,8.07,194.0,3.0
136,37.523952,143.242401,9.71,194.0,4.0
137,37.587731,142.925432,12.34,194.0,6.0
138,37.650299,142.609744,16.35,194.0,10.0
139,37.711383,142.296803,22.07,194.0,13.0
140,37.770683,141.988345,29.69,194.0,17.0
141,37.827899,141.686136,39.25,194.0,21.0
142,37.882826,141.391667,50.71,194.0,25.0
143,37.935317,141.105978,63.94,194.0,29.0
144,37.206007,143.478001,8.07,194.0,3.0
145,37.270595,143.161712,9.71,194.0,4.0
146,37.33417,142.845742,12.34,194.0,6.0
147,37.396533,142.531069,16.35,194.0,10.0
148,37.45743,142.219119,22.07,194.0,13.0
149,37.516552,141.911655,29.69,194.0,17.0
150,37.57361,141.610429,39.25,194.0,21.0
151,37.628371,141.316924,50.71,194.0,25.0
152,37.680725,141.032187,63.94,194.0,29.0
153,36.95279,143.39686,8.07,194.0,3.0
154,37.017162,143.081564,9.71,194.0,4.0
155,37.080537,142.766582,12.34,194.0,6.0
156,37.142717,142.45289,16.35,194.0,10.0
157,37.203431,142.141943,22.07,194.0,13.0
158,37.262379,141.835464,29.69,194.0,17.0
159,37.319264,141.535198,39.25,194.0,21.0
160,37.373881,141.242658,50.71,194.0,25.0
161,37.426091,140.95884,63.94,194.0,29.0
162,36.699496,143.316262,8.07,194.0,3.0
163,36.763673,143.001925,9.71,194.0,4.0
164,36.826852,142.687922,12.34,194.0,6.0
165,36.888835,142.375212,16.35,194.0,10.0
166,36.949378,142.065245,22.07,194.0,13.0
167,37.008147,141.75974,29.69,194.0,17.0
168,37.06488,141.460446,39.25,194.0,21.0
169,37.119338,141.168837,50.71,194.0,25.0
170,37.171408,140.88594,63.94,194.0,29.0
171,36.446143,143.236174,8.07,194.0,3.0
172,36.510122,142.922809,9.71,194.0,4.0
173,36.573099,142.609762,12.34,194.0,6.0
174,36.634907,142.298034,16.35,194.0,10.0
175,36.695264,141.989026,22.07,194.0,13.0
176,36.753875,141.684495,29.69,194.0,17.0
177,36.810451,141.38614,39.25,194.0,21.0
178,36.864761,141.095464,50.71,194.0,25.0
179,36.916695,140.813488,63.94,194.0,29.0
180,36.192717,143.156599,8.07,194.0,3.0
181,36.256499,142.844184,9.71,194.0,4.0
182,36.319297,142.532105,12.34,194.0,6.0
183,36.380924,142.221326,16.35,194.0,10.0
184,36.441108,141.913289,22.07,194.0,13.0
185,36.499555,141.609699,29.69,194.0,17.0
186,36.555969,141.312296,39.25,194.0,21.0
187,36.610144,141.022541,50.71,194.0,25.0
188,36.661943,140.741454,63.94,194.0,29.0
189,35.939235,143.077537,8.07,194.0,3.0
190,36.002826,142.766051,9.71,194.0,4.0
191,36.065438,142.454919,12.34,194.0,6.0
192,36.126878,142.14509,16.35,194.0,10.0
193,36.186894,141.838002,22.07,194.0,13.0
194,36.245181,141.535355,29.69,194.0,17.0
195,36.301452,141.23888,39.25,194.0,21.0
196,36.355478,140.950037,50.71,194.0,25.0
197,36.407147,140.669841,63.94,194.0,29.0
198,35.685691,142.998957,8.07,194.0,3.0
199,35.749093,142.688413,9.71,194.0,4.0
