# lon lat E[km] N[km] Dep[km] strike dip Area ID
144.857 41.247 1.000 1.000 8.070 194.000 3.000 841.000 0
144.524 41.315 1.000 1.000 9.710 194.000 4.000 841.000 1
144.190 41.383 1.000 1.000 12.340 194.000 6.000 841.000 2
143.858 41.449 1.000 1.000 16.350 194.000 10.000 841.000 3
143.529 41.513 1.000 1.000 22.070 194.000 13.000 841.000 4
143.204 41.575 1.000 1.000 29.690 194.000 17.000 841.000 5
142.886 41.636 1.000 1.000 39.250 194.000 21.000 841.000 6
142.575 41.693 1.000 1.000 50.710 194.000 25.000 841.000 7
142.274 41.748 1.000 1.000 63.940 194.000 29.000 841.000 8
144.766 40.995 1.000 1.000 8.070 194.000 3.000 841.000 9
144.434 41.063 1.000 1.000 9.710 194.000 4.000 841.000 10
144.101 41.130 1.000 1.000 12.340 194.000 6.000 841.000 11
143.770 41.196 1.000 1.000 16.350 194.000 10.000 841.000 12
143.442 41.260 1.000 1.000 22.070 194.000 13.000 841.000 13
143.119 41.322 1.000 1.000 29.690 194.000 17.000 841.000 14
142.802 41.382 1.000 1.000 39.250 194.000 21.000 841.000 15
142.492 41.440 1.000 1.000 50.710 194.000 25.000 841.000 16
142.192 41.495 1.000 1.000 63.940 194.000 29.000 841.000 17
144.676 40.743 1.000 1.000 8.070 194.000 3.000 841.000 18
144.344 40.811 1.000 1.000 9.710 194.000 4.000 841.000 19
144.013 40.878 1.000 1.000 12.340 194.000 6.000 841.000 20
143.684 40.943 1.000 1.000 16.350 194.000 10.000 841.000 21
143.357 41.007 1.000 1.000 22.070 194.000 13.000 841.000 22
143.034 41.069 1.000 1.000 29.690 194.000 17.000 841.000 23
142.718 41.129 1.000 1.000 39.250 194.000 21.000 841.000 24
142.410 41.186 1.000 1.000 50.710 194.000 25.000 841.000 25
142.111 41.241 1.000 1.000 63.940 194.000 29.000 841.000 26
144.586 40.491 1.000 1.000 8.070 194.000 3.000 841.000 27
144.256 40.559 1.000 1.000 9.710 194.000 4.000 841.000 28
143.926 40.625 1.000 1.000 12.340 194.000 6.000 841.000 29
143.597 40.690 1.000 1.000 16.350 194.000 10.000 841.000 30
143.271 40.754 1.000 1.000 22.070 194.000 13.000 841.000 31
142.950 40.816 1.000 1.000 29.690 194.000 17.000 841.000 32
142.635 40.875 1.000 1.000 39.250 194.000 21.000 841.000 33
142.328 40.932 1.000 1.000 50.710 194.000 25.000 841.000 34
142.031 40.987 1.000 1.000 63.940 194.000 29.000 841.000 35
144.497 40.239 1.000 1.000 8.070 194.000 3.000 841.000 36
144.168 40.306 1.000 1.000 9.710 194.000 4.000 841.000 37
143.839 40.372 1.000 1.000 12.340 194.000 6.000 841.000 38
143.512 40.437 1.000 1.000 16.350 194.000 10.000 841.000 39
143.187 40.501 1.000 1.000 22.070 194.000 13.000 841.000 40
142.867 40.562 1.000 1.000 29.690 194.000 17.000 841.000 41
142.553 40.622 1.000 1.000 39.250 194.000 21.000 841.000 42
142.247 40.678 1.000 1.000 50.710 194.000 25.000 841.000 43
141.951 40.733 1.000 1.000 63.940 194.000 29.000 841.000 44
144.409 39.986 1.000 1.000 8.070 194.000 3.000 841.000 45
144.081 40.054 1.000 1.000 9.710 194.000 4.000 841.000 46
143.753 40.120 1.000 1.000 12.340 194.000 6.000 841.000 47
143.427 40.184 1.000 1.000 16.350 194.000 10.000 841.000 48
143.103 40.247 1.000 1.000 22.070 194.000 13.000 841.000 49
142.784 40.309 1.000 1.000 29.690 194.000 17.000 841.000 50
142.471 40.368 1.000 1.000 39.250 194.000 21.000 841.000 51
142.167 40.425 1.000 1.000 50.710 194.000 25.000 841.000 52
141.871 40.479 1.000 1.000 63.940 194.000 29.000 841.000 53
